HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,SWP_SG,SV_POS,GY_ROLL,GY_YAW,GY_PITCH,ACC_X,ACC_Y,ACC_Z
a,124294,0.000,4.729,36.000,4.729,3.296,-0.020,-0.066,-0.676,2.127,9.457,2.084
a,124298,0.000,4.798,36.000,4.798,3.340,0.056,-0.127,0.454,2.103,9.489,2.116
a,124303,0.000,4.867,36.000,4.867,3.164,0.224,0.072,0.179,2.023,9.455,2.148
a,124306,0.000,4.936,36.000,4.936,3.296,0.102,0.148,0.179,2.101,9.470,2.125
a,124310,0.000,5.004,36.000,5.004,3.384,-0.157,0.056,1.324,2.116,9.420,2.120
a,124314,0.000,5.072,36.000,5.072,3.428,0.011,-0.035,-0.141,2.002,9.369,2.112
a,124318,0.000,5.140,36.000,5.140,3.472,0.102,0.255,0.439,2.085,9.476,2.125
a,124322,0.000,5.208,36.000,5.208,3.516,-0.066,-0.127,-0.798,2.144,9.477,2.081
a,124327,0.000,5.275,36.000,5.275,4.570,-0.005,-0.234,0.011,2.088,9.424,2.148
a,124331,0.000,5.342,36.000,5.342,3.867,-0.127,-0.127,-0.294,2.084,9.479,2.094
a,124335,0.000,5.408,36.000,5.408,4.043,0.056,-0.066,0.088,2.089,9.534,2.137
a,124338,0.000,5.475,36.000,5.475,4.043,0.102,0.026,-0.309,2.088,9.463,2.119
a,124342,0.000,5.541,36.000,5.541,4.175,0.163,-0.066,0.103,2.084,9.474,2.122
a,124346,0.000,5.607,36.000,5.607,4.570,-0.020,0.209,-0.416,2.060,9.485,2.137
a,124350,0.000,5.672,36.000,5.672,4.570,-0.112,-0.188,-0.416,2.084,9.437,2.163
a,124355,0.000,5.737,36.000,5.737,4.614,-0.112,-0.066,0.118,2.115,9.436,2.075
a,124358,0.000,5.802,36.000,5.802,4.570,0.011,0.041,0.531,2.097,9.415,2.106
a,124363,0.000,5.867,36.000,5.867,4.570,-0.020,-0.066,-0.782,2.082,9.465,2.103
a,124367,0.000,5.931,36.000,5.931,4.614,-0.096,0.072,0.240,2.094,9.499,2.115
a,124370,0.000,5.995,36.000,5.995,4.570,0.072,-0.035,-0.034,2.084,9.533,2.121
a,124374,0.000,6.058,36.000,6.058,4.614,0.194,-0.066,-0.584,2.097,9.458,2.127
a,124378,0.000,6.121,36.000,6.121,4.702,0.163,0.209,-0.202,2.065,9.428,2.097
a,124382,0.000,6.184,36.000,6.184,5.361,-0.157,-0.249,0.134,2.120,9.483,2.106
a,124386,0.000,6.247,36.000,6.247,5.405,0.041,-0.341,-0.630,2.105,9.481,2.081
a,124390,0.000,6.309,36.000,6.309,5.581,0.148,0.087,-0.309,2.070,9.450,2.121
a,124394,0.000,6.371,36.000,6.371,5.977,-0.112,-0.173,0.088,2.148,9.461,2.102
a,124398,0.000,6.432,36.000,6.432,5.977,-0.112,-0.005,0.851,2.132,9.461,2.134
a,124402,0.000,6.493,36.000,6.493,6.021,0.102,0.041,-0.065,2.063,9.442,2.130
a,124406,0.000,6.554,36.000,6.554,6.064,0.072,-0.142,0.195,2.120,9.475,2.116
a,124410,0.000,6.614,36.000,6.614,5.977,-0.005,-0.050,0.515,2.081,9.445,2.072
a,124415,0.000,6.674,36.000,6.674,6.021,-0.050,0.056,0.637,2.047,9.451,2.150
a,124419,0.000,6.733,36.000,6.733,6.021,-0.005,0.224,0.531,2.085,9.444,2.122
a,124422,0.000,6.792,36.000,6.792,6.021,-0.066,-0.020,-0.737,2.091,9.456,2.116
a,124426,0.000,6.851,36.000,6.851,5.977,-0.020,0.041,-0.782,2.076,9.465,2.137
a,124430,0.000,6.909,36.000,6.909,6.021,0.056,0.087,-0.080,2.085,9.443,2.097
a,124434,0.000,6.967,36.000,6.967,5.977,-0.020,-0.341,-0.447,2.125,9.443,2.116
a,124438,0.000,7.025,36.000,7.025,6.064,-0.005,-0.112,0.805,2.063,9.444,2.115
a,124442,0.000,7.082,36.000,7.082,6.064,0.163,0.163,0.683,2.047,9.425,2.138
a,124446,0.000,7.138,36.000,7.138,6.021,0.041,0.087,-0.630,2.116,9.439,2.128
a,124451,0.000,7.195,36.000,7.195,6.064,-0.020,0.087,-1.057,2.085,9.410,2.100
a,124454,0.000,7.250,36.000,7.250,6.021,-0.112,0.087,-0.080,2.076,9.464,2.090
