HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,GY_ROLL,GY_YAW,GY_PITCH,ACC_X,ACC_Y,ACC_Z,SWP_SG,SV_POS
a,56044,0.000,-9.738,36.000,-0.346,-0.237,-0.502,2.102,9.343,2.195,-9.738,-4.966
a,56048,0.000,-9.761,36.000,0.341,0.297,-0.426,2.077,9.335,2.292,-9.761,-4.966
a,56051,0.000,-9.783,36.000,-0.071,0.420,-1.174,2.189,9.394,2.240,-9.783,-5.010
a,56055,0.000,-9.804,36.000,0.280,0.374,0.780,2.254,9.340,2.230,-9.804,-5.010
a,56059,0.000,-9.824,36.000,-0.163,-0.802,-0.823,2.279,9.436,2.162,-9.824,-4.966
a,56063,0.000,-9.843,36.000,-0.117,-0.237,-0.075,2.127,9.354,2.242,-9.843,-5.054
a,56067,0.000,-9.860,36.000,0.097,0.267,0.475,2.058,9.348,2.234,-9.860,-4.966
a,56072,0.000,-9.877,36.000,0.264,0.862,0.322,2.192,9.351,2.286,-9.877,-5.010
a,56076,0.000,-9.893,36.000,-0.163,-0.069,-0.227,2.298,9.418,2.179,-9.893,-5.010
a,56079,0.000,-9.907,36.000,-0.224,-0.527,-1.327,2.245,9.348,2.239,-9.907,-5.054
a,56084,0.000,-9.921,36.000,-0.087,-0.344,0.872,2.176,9.363,2.229,-9.921,-5.054
a,56087,0.000,-9.933,36.000,0.081,0.206,-0.594,2.101,9.337,2.252,-9.933,-5.010
a,56091,0.000,-9.945,36.000,0.448,0.572,-0.380,2.198,9.363,2.248,-9.945,-4.922
a,56095,0.000,-9.955,36.000,-0.117,-0.069,-0.395,2.304,9.384,2.194,-9.955,-4.966
a,56099,0.000,-9.964,36.000,-0.209,-0.451,0.414,2.215,9.392,2.242,-9.964,-4.966
a,56103,0.000,-9.973,36.000,-0.026,-0.237,-0.792,2.118,9.371,2.234,-9.973,-4.614
a,56107,0.000,-9.980,36.000,0.005,0.511,-0.304,2.116,9.379,2.252,-9.980,-4.966
a,56111,0.000,-9.986,36.000,0.280,0.358,0.444,2.199,9.345,2.239,-9.986,-5.010
a,56115,0.000,-9.991,36.000,-0.056,-0.084,-1.433,2.289,9.378,2.242,-9.991,-4.966
